#{"t_start": 1780401903.7623403, "env_id": "None"}
r,l,t
-263.48795,42,64.785433
-318.8909,23,64.857311
-292.78217,18,64.911677
-262.61563,12,64.944893
-269.85815,16,64.9921
-294.69458,43,65.113213
-306.43124,12,66.201812
-278.08676,23,66.278925
-274.02777,22,66.352398
-278.51633,42,66.479554
-256.85678,11,66.511413
-255.27031,13,66.555113
-261.8284,16,66.607413
-267.30215,22,66.681032
-277.26166,23,66.745968
-308.47708,24,66.824174
-292.05914,28,66.906769
-279.94577,32,67.007936
-279.0257,23,67.08662
-277.4987,23,67.152679
-271.68655,30,67.242017
-261.963,15,67.289557
-260.23685,34,67.385205
-269.5587,40,67.502799
-268.5524,25,67.575824
-256.78018,15,67.620823
-266.12915,21,67.689068
-200.8889,31,68.845896
-287.78986,24,68.953114
-270.6444,29,69.050635
-265.26752,16,69.101814
-332.47946,42,69.266604
-281.7385,12,69.310795
-270.0783,24,69.386453
-258.60867,23,69.461416
-287.0533,15,69.515385
-269.9883,37,69.623294
-281.73135,12,69.659447
-267.48306,12,69.699981
-273.2026,18,69.7508
-270.0537,37,69.860677
-270.64273,14,69.901198
-310.35178,22,69.977106
-255.98846,11,70.012739
-293.87494,25,70.086899
-281.53073,32,70.181466
-322.68015,17,70.244949
-316.71753,25,70.334841
-269.9988,22,70.406227
-266.5717,10,70.441822
-288.19196,20,70.513475
-258.04553,22,71.660005
-299.37457,40,71.809632
-267.70477,17,71.865002
-289.8595,31,71.976867
-271.22565,33,72.09103
-277.8382,37,72.195859
-261.889,18,72.252537
-306.68353,22,72.317666
-270.95724,27,72.406398
-107.8437,23,72.475093
-264.72937,26,72.560759
-266.4707,29,72.644527
-274.87347,16,72.69478
-258.1469,26,72.786316
-288.12845,22,72.869461
-269.82196,24,72.939243
-280.8016,29,73.022039
-280.19656,28,73.105718
-265.3655,15,73.152586
-276.0839,26,73.22734
-256.97302,19,74.409598
-272.18152,12,74.460156
-255.99893,6,74.483596
-264.36996,36,74.598984
-217.85571,40,74.724023
-284.5882,26,74.805328
-276.46237,35,74.913467
-266.35184,17,74.970088
-257.53812,22,75.040734
-282.43756,21,75.10716
-279.12552,37,75.229755
